City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Atar,MR,2022-05-08 17:11:44,20.5169,-13.0499,106.88,9,50,8.9
110,Paracuru,BR,2022-05-08 17:11:44,-3.41,-39.0306,84.11,84,100,9.15
111,Upernavik,GL,2022-05-08 17:11:45,72.7868,-56.1549,20.82,68,91,5.95
112,Tigre,AR,2022-05-08 17:11:45,-34.426,-58.5796,74.05,54,0,8.05
113,Georgetown,MY,2022-05-08 17:08:29,5.4112,100.3354,84.13,74,20,4.61
114,Bathsheba,BB,2022-05-08 17:11:46,13.2167,-59.5167,86.61,70,20,16.11
115,Asyut,EG,2022-05-08 17:08:11,27.181,31.1837,92.35,12,96,5.14
116,Qaanaaq,GL,2022-05-08 17:11:46,77.484,-69.3632,25.56,64,100,2.48
117,Punta Arenas,CL,2022-05-08 17:07:36,-53.15,-70.9167,46.51,57,40,27.63
118,Kruisfontein,ZA,2022-05-08 17:11:47,-34.0033,24.7314,56.88,68,41,1.68
119,Vitoria Da Conquista,BR,2022-05-08 17:09:48,-14.8661,-40.8394,63.84,85,100,7.2
120,Korla,CN,2022-05-08 17:11:47,41.7597,86.1469,69.35,41,0,15.57
121,Malanje,AO,2022-05-08 17:11:48,-9.5402,16.341,73.11,69,42,2.95
122,Longyearbyen,SJ,2022-05-08 17:11:48,78.2186,15.6401,17.44,62,40,14.97
123,Salalah,OM,2022-05-08 17:11:49,17.0151,54.0924,84.29,79,40,8.05
124,Zhezkazgan,KZ,2022-05-08 17:11:49,47.8043,67.7144,58.89,26,84,17.65
125,Touros,BR,2022-05-08 17:11:50,-5.1989,-35.4608,83.59,71,92,13.58
126,Umm Kaddadah,SD,2022-05-08 17:11:50,13.6017,26.6876,89.76,5,52,12.55
127,Garowe,SO,2022-05-08 17:11:51,8.4054,48.4845,89.55,39,100,4.25
128,Tasiilaq,GL,2022-05-08 17:11:51,65.6145,-37.6368,37.56,68,100,6.85
129,Velsk,RU,2022-05-08 17:11:51,61.0701,42.0983,40.44,94,100,8.75
130,Mbandaka,CD,2022-05-08 17:11:52,0.0487,18.2603,79.84,71,94,6.62
131,Leon,MX,2022-05-08 17:11:39,21.1167,-101.6667,86.14,41,5,3.15
132,Horasan,TR,2022-05-08 17:11:53,40.0458,42.1728,45.01,66,82,4.56
133,Awjilah,LY,2022-05-08 17:11:53,29.1081,21.2869,83.01,19,0,15.48
134,Bonfim,BR,2022-05-08 17:11:53,3.0833,-59.95,84.81,64,88,2.26
135,Jagdalpur,IN,2022-05-08 17:11:54,19.0667,82.0333,79.75,58,5,9.08
136,Gravdal,NO,2022-05-08 17:11:55,68.1214,13.5031,39.15,65,100,14.54
137,Angoche,MZ,2022-05-08 17:11:55,-16.2325,39.9086,74.79,77,27,7.61
138,Prieska,ZA,2022-05-08 17:11:56,-29.6641,22.7474,62.2,38,23,5.95
139,Kashan,IR,2022-05-08 17:12:56,33.9831,51.4364,73.53,12,0,22.1
140,Puerto Madryn,AR,2022-05-08 17:12:56,-42.7692,-65.0385,66.27,30,99,29.44
141,Beruwala,LK,2022-05-08 17:12:57,6.4788,79.9828,82.53,86,100,13.22
142,Sao Joao Da Barra,BR,2022-05-08 17:12:57,-21.6403,-41.0511,80.69,68,47,12.62
143,Raudeberg,NO,2022-05-08 17:12:58,61.9875,5.1352,48.96,56,78,16.78
144,Kilindoni,TZ,2022-05-08 17:12:58,-7.9139,39.6668,81.34,76,18,16.02
145,Chamrajnagar,IN,2022-05-08 17:12:59,11.9167,76.95,74.98,76,100,7.2
146,Mankapur,IN,2022-05-08 17:12:59,27.0333,82.2333,89.51,35,23,8.3
147,Shache,CN,2022-05-08 17:12:59,38.4167,77.2406,76.17,19,1,5.48
148,Tambura,SS,2022-05-08 17:13:00,5.6,27.4667,72.34,89,100,4.07
149,Rozkishne,UA,2022-05-08 17:13:00,48.5074,39.3004,54.1,48,15,3.85
150,Rio Gallegos,AR,2022-05-08 17:11:36,-51.6226,-69.2181,50.05,40,20,34.52
151,Miraflores,MX,2022-05-08 17:13:01,19.2167,-98.8083,78.03,35,21,3.69
152,Kibaya,TZ,2022-05-08 17:13:02,-5.3,36.5667,62.24,76,100,8.19
153,Tucurui,BR,2022-05-08 17:13:02,-3.7661,-49.6725,87.03,61,80,5.03
154,Belyy Yar,RU,2022-05-08 17:13:03,53.6039,91.3903,35.85,34,0,4.47
155,Masvingo,ZW,2022-05-08 17:13:03,-20.0637,30.8277,68.97,44,53,0.81
156,Harbour Breton,CA,2022-05-08 17:13:04,47.4833,-55.7983,40.51,64,1,13.98
157,Guhagar,IN,2022-05-08 17:13:04,17.4842,73.1929,82.36,81,12,10.8
