City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
203,Igarka,RU,67.4667,86.5833,25.77,87,96,5.1,overcast clouds
204,Mahalingpur,IN,16.3833,75.1167,77.05,74,100,15.68,overcast clouds
205,Camapua,BR,-19.5314,-54.0439,72.07,45,14,0.92,few clouds
206,Hambantota,LK,6.1241,81.1185,79.14,100,20,8.05,few clouds
207,Qaqortoq,GL,60.7167,-46.0333,34.47,89,100,4.07,overcast clouds
208,Clyde River,CA,70.4692,-68.5914,19.63,79,0,5.75,clear sky
209,Tiznit,MA,29.5833,-9.5,72.68,26,100,0.83,overcast clouds
210,Kaka,TM,37.3482,59.6143,62.46,78,30,5.77,scattered clouds
211,Sakakah,SA,29.9697,40.2064,69.37,22,0,6.22,clear sky
212,Bordighera,IT,43.7806,7.6645,67.6,88,13,1.01,few clouds
213,Porto-Vecchio,FR,41.591,9.2795,60.33,93,0,3.44,clear sky
214,Sakaraha,MG,-22.9,44.5333,58.66,97,3,3.13,clear sky
215,Longyearbyen,SJ,78.2186,15.6401,17.44,67,20,4.61,few clouds
216,Hamilton,US,39.1834,-84.5333,79.65,69,40,4.61,scattered clouds
217,Namibe,AO,-15.1961,12.1522,72.52,66,73,9.51,broken clouds
218,Shache,CN,38.4167,77.2406,70.95,20,5,7.58,clear sky
219,Saint-Augustin,CA,51.226,-58.6502,48.09,60,16,13.06,few clouds
220,Zabid,YE,14.1951,43.3152,83.61,68,0,2.93,clear sky
221,Watsa,CD,3.0372,29.5355,63.3,87,2,3.2,clear sky
222,Jurado,CO,7.1053,-77.7641,78.26,89,85,2.3,overcast clouds
223,Camacha,PT,33.0833,-16.3333,62.02,88,40,11.5,scattered clouds
224,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,100,75,14.85,light intensity drizzle rain
225,Nouadhibou,MR,20.931,-17.0347,71.58,83,75,14.97,broken clouds
226,Narsaq,GL,60.9167,-46.05,35.31,87,100,4.54,overcast clouds
227,Kanniyakumari,IN,8.0833,77.5667,81.91,80,75,22.1,broken clouds
228,Turukhansk,RU,65.8167,87.9833,34.93,100,100,7.63,overcast clouds
229,Pavlodar,KZ,52.3,76.95,46.2,36,0,11.18,clear sky
230,Sokoni,TZ,-6.4333,39.55,81.23,70,1,17.45,clear sky
231,Neyshabur,IR,36.2133,58.7958,60.35,58,0,3.44,clear sky
232,Galatista,GR,40.4667,23.2833,57.85,68,47,3.11,scattered clouds
233,Alta Floresta,BR,-9.8756,-56.0861,74.28,76,27,3.56,scattered clouds
234,Wadi Musa,JO,30.3222,35.4793,56.79,31,2,2.46,clear sky
235,Taoudenni,ML,22.6783,-3.9836,89.08,8,5,7.63,clear sky
236,Kjopsvik,NO,68.097,16.3742,44.17,92,100,4.41,light rain
237,Leh,IN,34.1667,77.5833,46.67,43,4,4.16,clear sky
238,Sistranda,NO,63.7256,8.834,46.36,83,100,17.07,overcast clouds
239,Tzaneen,ZA,-23.8332,30.1635,58.06,82,2,3.51,clear sky
240,Polazna,RU,58.2946,56.4055,58.39,82,100,11.23,overcast clouds
241,Andreapol,RU,56.6513,32.2664,37.62,78,9,3.56,clear sky
242,Ati,TD,13.2154,18.3353,89.92,32,96,5.48,overcast clouds
243,Abalak,RU,58.1286,68.5944,53.74,46,100,11.59,overcast clouds
244,Mbandaka,CD,0.0487,18.2603,72.36,97,100,1.61,light rain
245,Marsaxlokk,MT,35.8419,14.5431,61.09,81,0,7.76,clear sky
246,Taft,IR,31.7471,54.2088,60.75,20,0,6.91,clear sky
247,Pauini,BR,-7.7136,-66.9764,75.9,91,100,1.07,moderate rain
248,Westport,US,41.1415,-73.3579,62.89,52,0,11.5,clear sky
249,Buraydah,SA,26.326,43.975,79.25,15,0,13.38,clear sky
250,Hun,LY,29.1268,15.9477,64.96,54,20,12.37,few clouds
251,Marsh Harbour,BS,26.5412,-77.0636,73.78,60,98,17.09,overcast clouds
252,Locri,IT,38.2414,16.2623,62.31,75,11,9.66,few clouds
253,Wagar,SD,16.1525,36.2032,84.06,17,10,16.37,clear sky
254,Santa Isabel,BR,-23.3156,-46.2214,63.7,91,39,0.96,scattered clouds
255,Adrar,MR,20.5022,-10.0711,84.29,10,10,7.81,clear sky
256,Chabahar,IR,25.2919,60.643,80.98,75,0,8.14,clear sky
257,Bayshore Gardens,US,27.4253,-82.5904,79.99,50,0,15.03,clear sky
258,San Rafael,AR,-34.6177,-68.3301,59.41,39,100,11.36,overcast clouds
259,Paulo Afonso,BR,-9.4061,-38.2147,72.64,83,52,7.18,broken clouds
260,Sinjar,IQ,36.3209,41.8754,62.24,47,0,6.46,clear sky
261,Mazyr,BY,52.0495,29.2456,41.25,72,3,4.97,clear sky
262,Colesberg,ZA,-30.72,25.0972,52.57,49,95,6.6,overcast clouds
263,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.46,83,50,4.59,scattered clouds
264,Beruwala,LK,6.4788,79.9828,82.02,84,100,19.39,overcast clouds
265,Lodja,CD,-3.4833,23.4333,72.27,79,100,1.72,overcast clouds
266,Parabel,RU,58.6978,81.4825,47.93,47,22,7.2,few clouds
267,Mattru,SL,7.6244,-11.8332,77.4,93,83,0.13,broken clouds
268,Les Cayes,HT,18.2,-73.75,76.57,85,2,4.18,clear sky
269,Sayyan,YE,15.1718,44.3244,62.38,32,0,9.35,clear sky
270,Ponta Delgada,PT,37.7333,-25.6667,66.51,77,75,5.75,broken clouds
271,Pasni,PK,25.2631,63.471,82.87,55,0,8.25,clear sky
272,Shieli,KZ,44.1667,66.75,59.97,53,8,5.57,clear sky
273,Pinega,RU,64.7001,43.3936,35.69,86,85,6.6,overcast clouds
274,Riccione,IT,44.0051,12.6447,67.08,78,4,3.44,clear sky
275,Somerset,US,40.5668,-74.5496,65.23,44,100,3.44,overcast clouds
276,Itarema,BR,-2.9248,-39.9167,76.48,84,100,5.14,overcast clouds
277,Xuddur,SO,4.1213,43.8894,73.29,84,85,13.56,overcast clouds
278,Modakeke,NG,7.3833,4.2667,73.24,100,81,2.37,broken clouds
279,Dzilam Gonzalez,MX,21.2833,-88.9333,79.72,75,0,11.12,clear sky
280,Maceio,BR,-9.6658,-35.7353,74.64,88,20,2.3,few clouds
281,Zanzibar,TZ,-6.1639,39.1979,76.68,82,1,9.15,clear sky
282,Coihaique,CL,-45.5752,-72.0662,42.75,81,0,8.05,clear sky
283,Upington,ZA,-28.4478,21.2561,50.38,50,0,5.75,clear sky
284,Tombouctou,ML,20.0,-3.0,83.64,10,0,12.46,clear sky
285,Silopi,TR,37.2497,42.4694,55.87,55,0,3.78,clear sky
286,Mangan,IN,27.5167,88.5333,74.05,75,28,2.21,scattered clouds
287,Kralendijk,BQ,12.15,-68.2667,80.58,78,40,18.41,scattered clouds
288,Hobyo,SO,5.3505,48.5268,82.09,74,100,16.15,overcast clouds
289,Caravelas,BR,-17.7125,-39.2481,71.65,82,85,3.4,overcast clouds
290,Janesville,US,42.6828,-89.0187,87.66,48,100,9.22,overcast clouds
291,Chalus,IR,36.655,51.4204,58.46,94,75,6.91,broken clouds
292,Sfantu Gheorghe,RO,45.8667,25.7833,50.27,92,100,0.96,overcast clouds
293,Marsabit,KE,2.3284,37.9899,64.35,83,5,18.66,clear sky
294,Baijiantan,CN,45.6333,85.1833,71.53,14,100,4.29,overcast clouds
295,Oistins,BB,13.0667,-59.5333,78.89,83,40,16.11,scattered clouds
296,Morbach,DE,49.8167,7.1167,61.12,75,0,11.5,clear sky
297,Bud,US,39.447,-86.1758,84.18,76,67,6.4,broken clouds
298,Cabedelo,BR,-6.9811,-34.8339,77.67,84,43,10.87,scattered clouds
299,Bonavista,CA,48.6499,-53.1147,42.84,74,0,15.23,clear sky
300,Mehamn,NO,71.0357,27.8492,37.31,98,100,19.28,overcast clouds
301,Sept-Iles,CA,50.2001,-66.3821,42.06,78,20,6.91,few clouds
302,Khandbari,NP,27.3747,87.2039,71.82,82,50,1.54,scattered clouds
303,Yar-Sale,RU,66.8333,70.8333,22.42,99,100,7.7,overcast clouds
304,Saint-Francois,FR,46.4154,3.9054,52.68,93,0,0.0,clear sky
305,Totma,RU,59.9747,42.7642,37.2,72,100,7.56,overcast clouds
306,Moshkovo,RU,55.3053,83.6104,36.07,37,0,11.23,clear sky
307,Bella Union,UY,-30.2752,-57.6007,57.11,93,0,6.24,clear sky
308,Chandigarh,IN,30.7343,76.7933,83.52,38,0,4.83,clear sky
309,Orumiyeh,IR,37.5527,45.0761,40.55,100,20,6.91,few clouds
310,Alexandria,EG,31.2156,29.9553,66.16,72,40,5.75,scattered clouds
311,Balykshi,KZ,47.0667,51.8667,39.2,87,1,6.71,mist
312,Tabou,CI,4.423,-7.3528,79.25,86,100,5.59,overcast clouds
313,Phalaborwa,ZA,-23.943,31.1411,61.88,78,4,2.53,clear sky
314,Novovarshavka,RU,54.1721,74.6946,52.02,34,100,13.35,overcast clouds
315,Road Town,VG,18.4167,-64.6167,80.64,83,40,10.36,scattered clouds
316,Oia,PT,40.5426,-8.5386,57.36,81,6,3.78,clear sky
317,Ostrogozhsk,RU,50.8664,39.0756,38.68,96,100,13.13,overcast clouds
318,Manta,EC,-0.95,-80.7333,74.98,83,100,8.05,overcast clouds
319,Tessalit,ML,20.1986,1.0114,82.49,7,0,10.33,clear sky
320,Rabo De Peixe,PT,37.8,-25.5833,65.28,73,75,5.75,broken clouds
321,Plouzane,FR,48.3833,-4.6167,53.78,94,75,6.91,broken clouds
322,Jizan,SA,17.3333,42.6667,85.14,72,2,1.3,clear sky
323,Kavadarci,MK,41.4331,22.0119,51.13,88,14,0.72,few clouds
324,Muros,ES,42.7762,-9.0603,53.1,87,16,3.33,few clouds
325,Harper,LR,4.375,-7.7169,79.5,84,100,5.21,overcast clouds
326,Ilhabela,BR,-23.7781,-45.3581,68.54,84,73,5.32,broken clouds
327,Port Shepstone,ZA,-30.7414,30.455,63.82,78,100,7.7,overcast clouds
328,Padang,ID,-0.9492,100.3543,78.85,78,100,2.24,overcast clouds
329,Severodvinsk,RU,64.5635,39.8302,42.91,81,80,10.07,broken clouds
330,Robertsport,LR,6.7533,-11.3686,81.55,83,100,8.93,overcast clouds
331,Povoa De Varzim,PT,41.3834,-8.7636,60.24,100,100,3.44,overcast clouds
332,Bukama,CD,-9.2,25.85,66.15,74,8,2.17,clear sky
333,Asfi,MA,32.2994,-9.2372,66.88,74,96,4.38,overcast clouds
334,Cockburn Town,TC,21.4612,-71.1419,78.76,78,40,0.0,scattered clouds
335,Bay Roberts,CA,47.5999,-53.2648,47.95,60,6,8.99,clear sky
336,Kisesa,TZ,-3.0833,34.15,65.5,79,86,8.52,overcast clouds
337,Staunton,US,38.1496,-79.0717,62.69,53,0,5.75,clear sky
338,Horni Plana,CZ,48.7674,14.0326,51.58,79,100,2.95,overcast clouds
339,Kontagora,NG,10.3999,5.4695,80.04,65,19,4.27,light rain
340,Isiro,CD,2.7739,27.616,66.33,99,53,2.06,broken clouds
341,Nantucket,US,41.2835,-70.0995,50.0,83,40,28.77,scattered clouds
342,Muzaffargarh,PK,30.0754,71.1921,86.02,13,5,6.13,clear sky
343,Appleton,US,44.2619,-88.4154,82.49,84,100,1.99,overcast clouds
344,Nueve De Julio,AR,-35.4444,-60.8831,60.1,69,98,5.53,overcast clouds
345,Mercedes,AR,-34.6515,-59.4307,56.79,88,6,5.48,clear sky
